"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"Pay satisfaction",-0.298367818651099,0.00799273026561281,-37.3298996382711,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000174115734604405,-0.31404341183459,-0.282692225467608
"Pension",-0.112146267846389,0.0197089845993305,-5.69010885777436,0.0000000147032213459567,-0.150800146354963,-0.0734923893378155
"Training days",0.0973012281850391,0.00555359348775487,17.5204087946982,0.000000000000000000000000000000000000000000000000000000000000000919592253910988,0.086409346521639,0.108193109848439
"Pay band (grouped)",-0.0821399571609576,0.0155798022430591,-5.27220794458746,0.000000150372391370036,-0.112695553775065,-0.0515843605468497
"Job sharing",-0.0533886572586251,0.0154069767079262,-3.46522606418683,0.000541722353260754,-0.0836053030148367,-0.0231720115024135
"Gender (control)",0.0500919950364691,0.0180999935665319,2.76751452161246,0.0057041105848953,0.0145937201862035,0.0855902698867346
"Age (control)",0.0387935449510837,0.00659607151669915,5.88131054262689,0.00000000480913907637529,0.0258571226937436,0.0517299672084237
"Extra hours pay",-0.0352393814134599,0.0191610971578977,-1.83911083603765,0.0660570930623336,-0.0728187258946318,0.00233996306771193
"Flexi-time",-0.0245316334669271,0.0102297461719776,-2.39806863772699,0.0165791045385085,-0.0445945323804814,-0.00446873455337282
"Contract type (control)",-0.0198658946395338,0.0226336775006327,-0.877713956955448,0.380211538555777,-0.0642557725605611,0.0245239832814935
"Tenure (control)",-0.0113284969551053,0.0073031372261734,-1.55118226650672,0.121026953399782,-0.0256516386496569,0.00299464473944638
"Hours worked (control)",0.00188863556073786,0.00100754006524687,1.87450169564731,0.061016838191591,-0.0000873836034303238,0.00386465472490604
